date,1. open,2. high,3. low,4. close,5. volume
2014-02-23,1.8522,1.8602,1.843,1.8521,0.0
2014-02-20,1.8488,1.8647,1.8458,1.849,0.0
2014-02-19,1.8542,1.8651,1.8507,1.853,0.0
2014-02-18,1.8502,1.8552,1.8422,1.8494,0.0
2014-02-17,1.8498,1.8533,1.8412,1.8495,0.0
2014-02-16,1.8506,1.8584,1.8495,1.8497,0.0
2014-02-13,1.854,1.8546,1.8465,1.8542,0.0
2014-02-12,1.8405,1.8606,1.8386,1.8401,0.0
2014-02-11,1.8232,1.8356,1.8119,1.823,0.0
2014-02-10,1.8336,1.8339,1.8151,1.8338,0.0
2014-02-09,1.834,1.8413,1.8316,1.8342,0.0
2014-02-06,1.8236,1.8331,1.8193,1.8235,0.0
2014-02-05,1.8282,1.8287,1.8131,1.828,0.0
2014-02-04,1.8321,1.8393,1.8201,1.8316,0.0
2014-02-03,1.864,1.8671,1.8264,1.8637,0.0
2014-02-02,1.8772,1.8793,1.8527,1.8771,0.0
2014-01-30,1.8744,1.8934,1.8691,1.8752,0.0
2014-01-29,1.8927,1.8994,1.8735,1.8923,0.0
2014-01-28,1.8861,1.8956,1.8784,1.8853,0.0
2014-01-27,1.898,1.898,1.8792,1.8977,0.0
2014-01-26,1.8964,1.9009,1.8874,1.8962,0.0
2014-01-23,1.8984,1.918,1.8921,1.8985,0.0
2014-01-22,1.8723,1.8953,1.8719,1.8721,0.0
2014-01-21,1.8708,1.8738,1.8515,1.8705,0.0
2014-01-20,1.8654,1.8733,1.8584,1.8651,0.0
2014-01-19,1.8709,1.874,1.8623,1.8709,0.0
2014-01-16,1.8531,1.8741,1.8505,1.853,0.0
2014-01-15,1.8372,1.8606,1.837,1.837,0.0
2014-01-14,1.8333,1.8462,1.8313,1.8335,0.0
2014-01-13,1.811,1.8309,1.8096,1.8108,0.0
2014-01-12,1.8299,1.8341,1.8017,1.8297,0.0
2014-01-09,1.8516,1.8557,1.8349,1.8515,0.0
2014-01-08,1.8495,1.8584,1.8457,1.8495,0.0
2014-01-07,1.8386,1.8433,1.8356,1.8388,0.0
2014-01-06,1.8299,1.8426,1.8299,1.8305,0.0
2014-01-05,1.8302,1.8378,1.8229,1.83,0.0
2014-01-02,1.8466,1.85,1.8228,1.8463,0.0
2014-01-01,1.8637,1.8692,1.8376,1.8641,0.0
2013-12-31,1.8565,1.8569,1.8352,1.8565,0.0
